Magazine,Issue ,Author Name,Title,Year,Place of publication
Generación Consciente,1,CASQUIVANO,Del amor libre,1923,Alcoy
Generación Consciente,2,CASQUIVANO,Del amor libre,1923,Alcoy
Generación Consciente,3,F. Caro Crespo,Confidencias sexuales. Los vicios solitarios,1923,Alcoy
Generación Consciente,7,Alicia M. De Valmaseda,Apuntes de una incomprendida,1924,Alcoy
Generación Consciente,11,Rafael Zuriaga,El feminismo,1924,Alcoy
Generación Consciente,13,Alicia M. de Valmaseda,Apuntes de una incomprendida,1924,Alcoy
Generación Consciente,14,Médico Rural,Cultura sexual Médico Rural ,1924,Alcoy
Generación Consciente,15,Dr. Cesar Juarros,Del problema sexual:  LA INICIACIÓN,1924,Alcoy
Generación Consciente,16,Diógenes, De cultura: libros y Bibliotecas,1924,Alcoy
Generación Consciente,17,Alicia M. De Valmaseda,Apuntes de una incomprendida ,1924,Alcoy
Generación Consciente,18,I.P.,La moral de la higiene ,1925,Alcoy
Generación Consciente,18,F. Caro Crespo,Libros y autores: Álvaro Retana,1925,Alcoy
Generación Consciente,19,Dr. Augusto Forel,Hacia la perfección moral del hombre: Ética sexual Dr. Augusto Forel,1925,Alcoy
Generación Consciente,21,Alicia M. de Valmaseda,Apuntes de una incomprendida ,1925,Alcoy
Generación Consciente,22,Regina Lamo,Deportismo femenino ,1925,Alcoy
Generación Consciente,25,Juan Pastor,La cuestión sexual y los anarquistas: no son palabras lo que hace falta ,1925,Alcoy
Generación Consciente,27,Un Médico Rural,Contingencia sexual ,1925,Alcoy
Generación Consciente,29,Ramón Magre,Del feminismo ,1925,Alcoy
Generación Consciente,35,Georges Hebert,El Sport contra la Educación física ,1926,Alcoy
Generación Consciente,36,Ramón Seró,El Music-hall ,1926,Alcoy
Generación Consciente,37,Margarita Nelken,Maternología y Puericultura ,1926,Alcoy
Generación Consciente,38,F. Barthe,Reflexiones sobre la diferencia potencial de los sexos ,1926,Alcoy
Generación Consciente,40,Ramón Seró,La pornografía ,1926,Alcoy
