Magazine,Issue ,Author Name,Title,Year,Place of publication
Ahora,278,Antonio de Hoyos y Vinent,La mentira del barrio chino,1935,Madrid
Bésame,1,Collette Vallecas,Ya somos iguales: El “paseo” en el Circo de Prince,1932,Valencia
Bésame,8,No author given,Chismorreo teatral: Se murmura …,1932,Valencia
Bésame,10,No author given,Noticias de la mala sociedad,1932,Valencia
Bésame,17,No author given,Noticia de sociedad,1932,Valencia
Chic,6,No author given,Cotilleo: Se murmura ,1932,Madrid
Chic,7,Equis ,Nuestra tertulia,1932,Madrid
Chic,8,No author given,Cocktail,1932,Madrid
Chic,8,No author given,Noticias frescas,1932,Madrid
Chic,10,No author given,Cocktail,1932,Madrid
Chic,13,No author given,Los vedettos,1933,Madrid
Color,14,No author given,...Wacor Lit Madrid-Barcelona”,1923,Barcelona
Color ,23,No author given,El gato y la mujer,1923,Barcelona
Color,25,No author given,... Wacor Lit Madrid-Barcelona¨ ,1923,Barcelona
Color,25,No author given,COLORÍN COLORADO - La absolución,1923,Barcelona
Color,27,No author given,Pelitos a la mar,1923,Barcelona
Color,30,No author given,La huella,1923,Barcelona
Color,32,No author given,"Juventud, egolatría",1923,Barcelona
Crónica,204,Francisco Aguirre,La obra moralizadora del gobernador general de Cataluña.,1933,Madrid
,,,,,
Crónica,278,G. Trillas Blazquez,"El Carnaval en Barcelona. Serafí Pollastre, el Gran Camestoltes y “Els Mamarratxos del Carrer Nou”.",1935,Madrid
Fifí ,…,No author given,Cine: Película Galante,1933,Valencia
Flirt,3,Emilio Carrére,Agua-fuerte de hoy,1922,Madrid
Flirt,5,Rafael Cansinos Asséns,Las dos amiguitas,1922,Madrid
Flirt,9,Alberto Insúa,Los pecados sin perdón: La ninfa-sátiro,1922,Madrid
Flirt,17,Cristóbal de Castro,"Los clásicos del amor: Boda original, por Samuel Pepys",1922,Madrid
Flirt,17,Joaquín Belda,Enseñanza superior,1922,Madrid
Flirt,18,Joaquín Belda,Enseñanza superior,1922,Madrid
Flirt,19,Andrés González-Blanco,Cuentos al oído de luz,1922,Madrid
Flirt,22,Alberto Insúa,Notas de un amante,1922,Madrid
Flirt,25,Emilio Carrére,El encanto del cabaret,1922,Madrid
Flirt,33,Alberto Valero Martín,Treinta páginas galantes,1922,Madrid
Flirt,37,Emilio Carrére,Las treinta y seis maneras del aretino,1922,Madrid
Flirt,41,No author given,Safo en el internado,1922,Madrid
Flirt,44,Díez de Tejada,El amuleto,1922,Madrid
Muchas Gracias,119,Un Viejo Don Juan,Cuentos cinematográficos: La señorita que se vestía de hombre,1926,Madrid
Muchas Gracias,15,Joaquín Belda,La ciénaga del placer,1924,Madrid
Muchas Gracias,17,Díaz-Antón,No title,1924,Madrid
Muchas Gracias,22,Artemio Precioso,Aperitivos: Una pregunta,1924,Madrid
Muchas Gracias,38,Artemio Precioso,La pornografía en París,1924,Madrid
Muchas Gracias,44,Felipe Sassone,Caramillo,1924,Madrid
Muchas Gracias,46,Artemio Precioso,El porqué del pecado,1924,Madrid
Muchas Gracias,51,José Bruno,Las más bellas amantes: Lesbia,1925,Madrid
Muchas Gracias,53,José Bruno,Las más bellas amantes: Safo,1925,Madrid
Muchas Gracias,54,Juan Ferragat,Gente al margen,1925,Madrid
Muchas Gracias,65,Mary Belén,Impresiones de una “ingenua”: Lo que yo no me explico,1925,Madrid
Muchas Gracias,66,Mary Belén,Impresiones de una “ingenua”: La demostración,1925,Madrid
Muchas Gracias,83,Emilio Carrére,Matrimonios tribadistas,1925,Madrid
Muchas Gracias,92,Artemio Precioso,"El amor, la pornografía y los escritores",1925,Madrid
Muchas Gracias,129,José Bruno,Mosaico galante: La que se tira al mar,1926,Madrid
Muchas Gracias,144,Juan Ferragut,"Teresita Saavedra, “el Príncipe” equívoco",1926,Madrid
Muchas Gracias,152,Juan Ferragut,"Oscar Wilde-Donday: Del presidio, del vicio ambiguo y de la literatura",1926,Madrid
Muchas Gracias,171,Santiago Ibero,De Barcelona: Nuestro pequeño barrio chino,1927,Madrid
Muchas Gracias,373,Eusebio Cimorra,La infidelidad de Mabel,1931,Madrid
Mundo Gráfico,278,José María Aguirre,No title,1933,Madrid
Picardía y broma,…,No author given,No title,1933,Valencia
Picardía y broma,…,(Felipa),Carta de una “churra” a su amiga,1933,Valencia
